action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,ligand_efficiency_bei,ligand_efficiency_le,ligand_efficiency_lle,ligand_efficiency_sei,ligand_efficiency,action_type_action_type,action_type_description,action_type_parent_type
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7768484,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,,,CHEMBL1909046,,,,CHEMBL509,MECLOFENAMIC ACID,CHEMBL509,,0,,1539913,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7768609,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CN1CCCC(CN2c3ccccc3Sc3ccccc32)C1,,,CHEMBL1909046,,,,CHEMBL395110,MEPAZINE,CHEMBL395110,,0,,1539921,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7768677,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,Cn1ccnc1S,,,CHEMBL1909046,,,,CHEMBL1515,METHIMAZOLE,CHEMBL1515,,0,,1539929,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7768812,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,,,CHEMBL1909046,,,,CHEMBL1201356,METHYLERGONOVINE,CHEMBL1201356,,0,,1539937,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7769305,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,COc1nc(C)nc(Cl)c1NC1=NCCN1,,,CHEMBL1909046,,,,CHEMBL19236,MOXONIDINE,CHEMBL19236,,0,,1539962,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7769439,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,,,CHEMBL1909046,,,,CHEMBL521606,NADOLOL,CHEMBL521606,,0,,1539970,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7769488,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,,,CHEMBL1909046,,,,CHEMBL6,INDOMETHACIN,CHEMBL6,,0,,1539848,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7769615,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,C/C=C\c1ccc(O)c(OC)c1,,,CHEMBL1909046,,,,CHEMBL445206,ISOEUGENOL,CHEMBL445206,,0,,1539856,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7769727,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,,,CHEMBL1909046,,,,CHEMBL157101,KETOCONAZOLE,CHEMBL157101,,0,,1539864,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7771189,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,,,CHEMBL1909046,,,,CHEMBL1200862,METYROSINE,CHEMBL1200862,,0,,1539946,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7771220,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12,,,CHEMBL1909046,,,,CHEMBL105,MITOMYCIN,CHEMBL105,,0,,1539954,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7771983,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,,,CHEMBL1909046,,,,CHEMBL571,KETOPROFEN,CHEMBL571,,0,,1539865,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7772069,[],CHEMBL1909123,DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA)),B,,,BAO_0000190,BAO_0000221,tissue-based format,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccccc1/C=C/C(=O)OC(C)(C)C,,,CHEMBL1909046,,,,CHEMBL460291,LACIDIPINE,CHEMBL460291,,0,,1539873,,15,0,,Not active,IC50,,,,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,Not Active,,IC50,,,,,,,,,,,,
